Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.700000,-113.284000,-135.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.700000,-130.556000,-45.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.972000,-130.556000,-135.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.972000,-113.284000,135.000000,top
"U1","XC9572XL-VQ64","TQFP-64_10x10mm_P0.5mm",148.336000,-121.920000,-45.000000,top
